,Leave,campaignName,adGroupName,targeting,matchType
0,8,Brace - SP - BBM,bbm,+tendonitis +wrist,broad
1,8,Brace - SP - Broad - Generic - GS,Generic Keywords,sport wrist brace,broad
2,1,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist brace typing,broad
3,14,Brace - SP - Broad - Injury KW - GS,Injury,wrist injury,broad
4,14,Brace - SP - Competitor manual,brace,night wrist brace,broad
5,14,Brace - SP - Competitor manual,brace,night wrist brace,phrase
6,14,Brace - SP - Exact - Generic - GS,Left,left hand brace,exact
7,14,Brace - SP - Exact - Generic - GS,Left,wrist brace left hand,exact
8,14,Brace - SP - Exact - Injury KW - GS,Sprains,brace for sprain wrist,exact
9,1,Brace - SP - Exact - Injury KW - GS,Sprains,wrist brace for sprained wrist,exact
10,14,Catch all grouped,brace,comfybrace,phrase
11,14,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,copper compression,broad
12,14,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,copper compression,exact
13,14,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,copper compression,phrase
14,14,Gloves - SP - Cerebro - Amazons Choice - Exact,Gloves - SP - Cerebro - Amazons Choice - Exact,gloves carpal tunnel,exact
15,1,Gloves - SP - Cerebro - Broad,Cerebro - Broad,pressure glove,broad
16,1,Gloves - SP - Cerebro - Broad,Cerebro - Broad,swelling reducer for hands,broad
17,14,Gloves - SP - Cerebro - Exact,gloves,thumb compression sleeve,exact
18,14,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,compression glove,phrase
19,19,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,fititude,phrase
20,22,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,fititude compression gloves,exact
21,22,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,fititude infused copper pair of compression gloves,exact
22,22,Gloves - SP - KW - MIX - Discovery,gloves,arthritis gloves for women for pain,exact
23,22,Gloves - SP - Top Keywords,Top Keywords,gloves for swelling,exact
24,22,Gloves - SP - Top Keywords,Top Keywords,gloves for swelling,phrase
25,22,Gloves - SP - manual,exact,thumb arthritis compression gloves,exact
26,8,Brace - SP - BBM,bbm,+copper +brace,broad
31,14,Brace - SP - Broad - Injury KW - GS,Injury,wrist injury brace,broad
32,14,Brace - SP - Broad - Injury KW - GS,Injury,wrist injury support,broad
34,14,Brace - SP - Exact - Generic - GS,Left,left wrist brace,exact
