date,Leave,clicks,conversions,sales
2022-08-19,1.0,1,0,0.0
2022-08-19,5.0,0,0,0.0
2022-08-19,12.0,1,0,0.0
2022-08-19,16.0,0,0,0.0
2022-08-19,20.0,0,0,0.0
2022-08-20,1.0,8,0,0.0
2022-08-20,12.0,0,0,0.0
2022-08-20,16.0,2,0,0.0
2022-08-20,25.0,0,0,0.0
2022-08-21,1.0,12,0,0.0
2022-08-21,5.0,1,0,0.0
2022-08-21,12.0,0,0,0.0
2022-08-21,16.0,1,0,0.0
2022-08-21,20.0,0,0,0.0
2022-08-22,1.0,0,0,0.0
2022-08-22,5.0,0,0,0.0
2022-08-22,12.0,0,0,0.0
2022-08-22,16.0,0,0,0.0
2022-08-22,25.0,0,0,0.0
2022-08-23,1.0,0,0,0.0
2022-08-23,5.0,0,0,0.0
2022-08-23,12.0,2,0,0.0
2022-08-23,16.0,0,0,0.0
2022-08-23,25.0,0,0,0.0
2022-08-24,1.0,0,0,0.0
2022-08-24,5.0,0,0,0.0
2022-08-24,12.0,0,0,0.0
2022-08-24,16.0,0,0,0.0
2022-08-24,20.0,0,0,0.0
2022-08-25,1.0,0,0,0.0
2022-08-25,5.0,0,0,0.0
2022-08-25,12.0,0,0,0.0
2022-08-25,16.0,1,1,15.94
2022-08-25,25.0,0,0,0.0
2022-08-26,1.0,0,0,0.0
2022-08-26,12.0,0,0,0.0
2022-08-26,16.0,0,0,0.0
2022-08-26,20.0,1,0,0.0
2022-08-27,1.0,1,0,0.0
2022-08-27,5.0,0,0,0.0
2022-08-27,12.0,0,0,0.0
2022-08-27,16.0,1,1,15.94
2022-08-27,20.0,0,0,0.0
2022-08-28,1.0,0,0,0.0
2022-08-28,5.0,0,0,0.0
2022-08-28,12.0,0,0,0.0
2022-08-28,16.0,0,0,0.0
2022-08-28,20.0,0,0,0.0
2022-08-29,1.0,0,0,0.0
2022-08-29,12.0,0,0,0.0
2022-08-29,16.0,0,0,0.0
2022-08-29,20.0,0,0,0.0
2022-08-30,1.0,1,0,0.0
2022-08-30,16.0,0,0,0.0
2022-08-30,20.0,0,0,0.0
2022-08-31,1.0,0,0,0.0
2022-08-31,5.0,0,0,0.0
2022-08-31,12.0,0,0,0.0
2022-08-31,16.0,3,1,15.94
2022-08-31,20.0,0,0,0.0
2022-09-01,1.0,0,0,0.0
2022-09-01,5.0,0,0,0.0
2022-09-01,12.0,0,0,0.0
2022-09-01,16.0,0,0,0.0
2022-09-01,20.0,0,0,0.0
2022-09-02,1.0,2,1,15.94
2022-09-02,5.0,0,0,0.0
2022-09-02,12.0,1,1,15.94
2022-09-02,16.0,0,0,0.0
2022-09-02,20.0,0,0,0.0
2022-09-03,1.0,0,0,0.0
2022-09-03,5.0,1,1,15.94
2022-09-03,12.0,0,0,0.0
2022-09-03,16.0,2,0,0.0
2022-09-03,20.0,2,1,15.94
2022-09-04,1.0,1,0,0.0
2022-09-04,12.0,0,0,0.0
2022-09-04,16.0,2,1,15.94
2022-09-04,20.0,0,0,0.0
2022-09-05,1.0,1,0,0.0
2022-09-05,5.0,0,0,0.0
2022-09-05,12.0,0,0,0.0
2022-09-05,16.0,1,0,0.0
2022-09-05,20.0,0,0,0.0
2022-09-06,1.0,1,0,0.0
2022-09-06,12.0,1,0,0.0
2022-09-06,16.0,0,0,0.0
2022-09-06,20.0,0,0,0.0
2022-09-07,1.0,0,0,0.0
2022-09-07,5.0,1,1,15.94
2022-09-07,12.0,0,0,0.0
2022-09-07,16.0,1,0,0.0
2022-09-07,20.0,0,0,0.0
2022-09-08,1.0,0,0,0.0
2022-09-08,5.0,0,0,0.0
2022-09-08,12.0,0,0,0.0
2022-09-08,16.0,0,0,0.0
2022-09-08,20.0,0,0,0.0
2022-09-09,1.0,0,0,0.0
2022-09-09,5.0,0,0,0.0
2022-09-09,16.0,0,0,0.0
2022-09-09,20.0,0,0,0.0
2022-09-10,1.0,0,0,0.0
2022-09-10,12.0,1,0,0.0
2022-09-10,16.0,0,0,0.0
2022-09-10,20.0,0,0,0.0
2022-09-11,1.0,0,0,0.0
2022-09-11,12.0,0,0,0.0
2022-09-11,16.0,0,0,0.0
