,Unnamed: 0,CR,x_prior,x_post ,Date,campaignName,adGroupName,targeting,matchType
0,1.0,0.4027075902566846,0.4098666763181417,0.4027075902566846,2022-11-18,,,,
1,8.0,0.1652675677461654,0.1653510118097659,0.1652675677461654,2022-11-18,,,,
2,11.0,0.1196180570555333,0.1196734064653819,0.1196180570555333,2022-11-18,,,,
3,28.0,0.1828319992141789,0.1829037575385962,0.1828319992141789,2022-11-18,,,,
4,5.0,0.0841036012650312,0.0842103918740699,0.0841036012650312,2022-11-18,,,,
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,compression glove,phrase
5,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,copper gloves men,broad
5,,,,,,Brace - SP - Broad - Generic - GS,Generic Keywords,gaming wrist brace,broad
5,,,,,,Brace - SP - Broad - Generic - GS,Generic Keywords,medical wrist brace,broad
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,copper glove,phrase
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,anti arthritis gloves,phrase
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,arthriti glove,phrase
5,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,compression wrist brace,exact
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,arthriti compression,phrase
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,arthriti compression glove,phrase
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,arthriti pain,phrase
5,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,compression wrist support,exact
5,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,hand wrist,exact
5,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,compression hand arm sleeves for women,broad
5,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,copper finger glove,broad
5,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,compression socks for hand,broad
5,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,copper fingerless glove for women,broad
5,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,carpal tunnel gloves,broad
5,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,copper fit gloves,broad
5,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,arthriti pain relief,phrase
6,,,,,,Brace - SP - Broad - Generic - GS,Generic Keywords,sport wrist brace,broad
6,,,,,,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist brace typing,broad
6,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,pressure glove,broad
6,,,,,,Gloves - SP - Cerebro - Broad,Cerebro - Broad,swelling reducer for hands,broad
6,,,,,,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,swelling reducer for hands,phrase
6,,,,,,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist relief for pain,broad
6,,,,,,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist wrap injury,broad
6,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,wrist braces,exact
6,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,wrist relief for pain,exact
6,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,wrist compression,exact
6,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,wrist wrap injury,exact
6,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,wristbands pain relief,exact
6,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,wrist support,exact
6,,,,,,Brace - SP - Exact - Generic - GS,Generic Keywords,wrist support for small wrists,exact
