date,Leave,clicks,conversions,sales
2022-09-24,6.0,0,0,0.0
2022-09-24,11.0,2,2,31.88
2022-09-24,18.0,2,0,0.0
2022-09-24,19.0,1,0,0.0
2022-09-24,24.0,0,0,0.0
2022-09-24,28.0,0,0,0.0
2022-09-24,29.0,0,0,0.0
2022-09-24,32.0,6,0,0.0
2022-09-24,34.0,0,0,0.0
2022-09-24,42.0,0,0,0.0
2022-09-24,47.0,0,0,0.0
2022-09-24,50.0,1,0,0.0
2022-09-24,68.0,0,0,0.0
2022-09-24,71.0,0,0,0.0
2022-09-24,78.0,0,0,0.0
2022-09-24,84.0,2,0,0.0
2022-09-24,90.0,0,0,0.0
2022-09-24,93.0,1,1,15.94
2022-09-24,97.0,0,0,0.0
2022-09-24,105.0,2,0,0.0
2022-09-24,106.0,1,0,0.0
2022-09-24,107.0,0,0,0.0
2022-09-24,111.0,0,0,0.0
2022-09-24,112.0,1,0,0.0
2022-09-24,115.0,0,0,0.0
2022-09-24,137.0,0,0,0.0
2022-09-24,152.0,0,0,0.0
2022-09-24,156.0,1,1,15.94
2022-09-24,167.0,2,0,0.0
2022-09-24,175.0,0,0,0.0
2022-09-24,180.0,0,0,0.0
2022-09-24,187.0,0,0,0.0
2022-09-24,188.0,0,0,0.0
2022-09-24,189.0,0,0,0.0
2022-09-24,190.0,2,0,0.0
2022-09-24,199.0,0,0,0.0
2022-09-25,6.0,0,0,0.0
2022-09-25,11.0,1,0,0.0
2022-09-25,18.0,2,0,0.0
2022-09-25,19.0,0,0,0.0
2022-09-25,24.0,1,0,0.0
2022-09-25,28.0,0,0,0.0
2022-09-25,29.0,0,0,0.0
2022-09-25,32.0,0,0,0.0
2022-09-25,34.0,0,0,0.0
2022-09-25,42.0,0,0,0.0
2022-09-25,47.0,2,0,0.0
2022-09-25,50.0,1,2,63.76
2022-09-25,58.0,0,0,0.0
2022-09-25,68.0,0,0,0.0
2022-09-25,71.0,0,0,0.0
2022-09-25,78.0,0,0,0.0
2022-09-25,84.0,2,0,0.0
2022-09-25,90.0,1,0,0.0
2022-09-25,93.0,0,0,0.0
2022-09-25,105.0,0,0,0.0
2022-09-25,106.0,0,0,0.0
2022-09-25,107.0,1,1,15.94
2022-09-25,111.0,0,0,0.0
2022-09-25,112.0,2,0,0.0
2022-09-25,115.0,0,0,0.0
2022-09-25,137.0,1,0,0.0
2022-09-25,152.0,0,0,0.0
2022-09-25,156.0,1,1,15.94
2022-09-25,167.0,4,0,0.0
2022-09-25,175.0,1,0,0.0
2022-09-25,180.0,0,0,0.0
2022-09-25,187.0,0,0,0.0
2022-09-25,188.0,0,0,0.0
2022-09-25,189.0,0,0,0.0
2022-09-25,190.0,0,0,0.0
2022-09-25,199.0,0,0,0.0
2022-09-26,6.0,0,0,0.0
2022-09-26,11.0,0,0,0.0
2022-09-26,18.0,5,1,15.94
2022-09-26,19.0,1,0,0.0
2022-09-26,24.0,1,2,31.88
2022-09-26,28.0,1,0,0.0
2022-09-26,29.0,0,0,0.0
2022-09-26,32.0,2,0,0.0
2022-09-26,34.0,0,0,0.0
2022-09-26,42.0,1,0,0.0
2022-09-26,47.0,1,0,0.0
2022-09-26,50.0,2,0,0.0
2022-09-26,58.0,0,0,0.0
2022-09-26,68.0,0,0,0.0
2022-09-26,71.0,1,0,0.0
2022-09-26,78.0,1,1,15.94
2022-09-26,84.0,5,0,0.0
2022-09-26,90.0,0,0,0.0
2022-09-26,93.0,0,0,0.0
2022-09-26,97.0,0,0,0.0
2022-09-26,105.0,1,0,0.0
2022-09-26,106.0,0,0,0.0
2022-09-26,111.0,0,0,0.0
2022-09-26,112.0,2,0,0.0
2022-09-26,115.0,0,0,0.0
2022-09-26,137.0,2,0,0.0
2022-09-26,152.0,2,2,31.88
2022-09-26,156.0,0,0,0.0
2022-09-26,167.0,4,1,15.94
2022-09-26,175.0,0,0,0.0
2022-09-26,180.0,3,1,15.94
2022-09-26,187.0,0,0,0.0
2022-09-26,188.0,0,0,0.0
2022-09-26,189.0,1,0,0.0
2022-09-26,190.0,0,0,0.0
2022-09-26,199.0,0,0,0.0
2022-09-27,6.0,0,0,0.0
2022-09-27,11.0,1,0,0.0
2022-09-27,18.0,1,0,0.0
2022-09-27,19.0,1,0,0.0
2022-09-27,24.0,0,0,0.0
2022-09-27,28.0,0,0,0.0
2022-09-27,29.0,3,1,15.94
2022-09-27,32.0,0,0,0.0
2022-09-27,34.0,0,0,0.0
2022-09-27,42.0,0,0,0.0
2022-09-27,47.0,0,0,0.0
2022-09-27,50.0,2,3,47.81999999999999
2022-09-27,58.0,0,0,0.0
2022-09-27,68.0,0,0,0.0
2022-09-27,71.0,0,0,0.0
2022-09-27,78.0,0,0,0.0
2022-09-27,84.0,1,0,0.0
2022-09-27,90.0,2,1,15.94
2022-09-27,93.0,1,0,0.0
2022-09-27,97.0,0,0,0.0
2022-09-27,105.0,0,0,0.0
2022-09-27,106.0,0,0,0.0
2022-09-27,107.0,0,0,0.0
2022-09-27,111.0,0,0,0.0
2022-09-27,112.0,0,0,0.0
2022-09-27,115.0,1,0,0.0
2022-09-27,137.0,0,0,0.0
2022-09-27,152.0,4,1,15.94
2022-09-27,156.0,0,0,0.0
2022-09-27,167.0,2,0,0.0
2022-09-27,175.0,0,0,0.0
2022-09-27,180.0,0,0,0.0
2022-09-27,187.0,0,0,0.0
2022-09-27,188.0,0,0,0.0
2022-09-27,189.0,0,0,0.0
2022-09-27,190.0,2,0,0.0
2022-09-27,199.0,2,0,0.0
2022-09-28,6.0,0,0,0.0
