,CR,x_prior,x_post ,Date,Leave,campaignName,adGroupName,targeting,matchType
6.0,0.13538570016278906,0.13538570016278906,0.13404727945255795,2022-12-22,6.0,Catch all grouped,gloves,arthritis,broad
6.0,0.13538570016278906,0.13538570016278906,0.13404727945255795,2022-12-22,6.0,Catch all grouped,gloves,arthritis,phrase
6.0,0.13538570016278906,0.13538570016278906,0.13404727945255795,2022-12-22,6.0,Gloves - SP - manual,phrase,arthritis,phrase
11.0,0.07444842177413526,0.07444842177413526,0.07436610999856134,2022-12-22,11.0,Brace - SP - Broad - Injury KW - GS,Tendinitis,tendonitis,broad
11.0,0.07444842177413526,0.07444842177413526,0.07436610999856134,2022-12-22,11.0,Catch all grouped,gloves,gloves,broad
11.0,0.07444842177413526,0.07444842177413526,0.07436610999856134,2022-12-22,11.0,Catch all grouped,brace,comfybrace,phrase
11.0,0.07444842177413526,0.07444842177413526,0.07436610999856134,2022-12-22,11.0,Catch all grouped,brace,fengjida,phrase
11.0,0.07444842177413526,0.07444842177413526,0.07436610999856134,2022-12-22,11.0,Catch all grouped,brace,rolyan,broad
11.0,0.07444842177413526,0.07444842177413526,0.07436610999856134,2022-12-22,11.0,Catch all grouped,brace,comfybrace,broad
18.0,0.09048370555898166,0.09048370555898166,0.08985683305423962,2022-12-22,18.0,Brace - SP - BBM,bbm,+copper +brace,broad
18.0,0.09048370555898166,0.09048370555898166,0.08985683305423962,2022-12-22,18.0,Brace - SP - BBM,bbm,+copper +tendinitis,broad
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Brace - SP - BBM,bbm,+tendinitis +wrist,broad
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Brace - SP - BBM,bbm,+tendonitis +wrist,broad
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Brace - SP - Broad - Injury KW - GS,Arthritis,arthritis brace fingers,broad
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Catch all grouped,brace,bee sting allergy bracelet,phrase
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Catch all grouped,brace,air cast broken wrist,phrase
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Catch all grouped,brace,arthritis gloves,phrase
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,ace gloves,phrase
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Catch all grouped,gloves,bowling finger sleeves,broad
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Catch all grouped,brace,arthritis gloves,broad
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,ace gloves,exact
19.0,0.07737850060486562,0.07737850060486562,0.07721498816849355,2022-12-22,19.0,Brace - SP - Broad - Injury KW - GS,Arthritis,arthritis pain relief for hands,broad
24.0,0.0620509926935995,0.0620509926935995,0.06195858965959651,2022-12-22,24.0,Brace - SP - Broad - Generic - GS,Generic Keywords,hand brace,broad
24.0,0.0620509926935995,0.0620509926935995,0.06195858965959651,2022-12-22,24.0,Brace - SP - Broad - Generic - GS,Generic Keywords,hand wrist,broad
28.0,0.04331561714413689,0.04331561714413689,0.04534124076451734,2022-12-22,28.0,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist brace,broad
29.0,0.07755674747088116,0.07755674747088116,0.07716210598062564,2022-12-22,29.0,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist compression,broad
29.0,0.07755674747088116,0.07755674747088116,0.07716210598062564,2022-12-22,29.0,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist stabilizer,broad
29.0,0.07755674747088116,0.07755674747088116,0.07716210598062564,2022-12-22,29.0,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist immobilizer,broad
32.0,0.09267338773304969,0.09267338773304969,0.09173427239868051,2022-12-22,32.0,Brace - SP - Broad - Generic - GS,Generic Keywords,medical wrist brace,broad
