,_id,keywordId,adGroupId,campaignId,profileId,targeting,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,date,__v,conversions,sales,campaignName,adGroupName,matchType,CR,x_prior,x_post ,Date,Leave,campaignType,conv_value,clicks_filter,cost_filter,avg_cpc,bid,slope,target_acos,update_bid,new_bid
847,639bbe6007c1047fb99569d2,73432356024127,116068933213320,220782691721278,3932195223562143,arthritis gloves women,0,90,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - KW - MIX - Discovery,gloves,phrase,0.08887283572288748,0.08887283572288748,0.08537882758647249,2022-12-14,53.0,sponsoredProducts,15.7,36,27.35,0.7597222222222223,0.79,0.5964225410316804,0.7,1.637618294749616,0.9875
652,639bbe6007c1047fb99569ef,148061727898141,29133953995410,11562017053024,3932195223562143,magnetic gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Catch all grouped,gloves,phrase,0.14437529690143144,0.14437529690143144,0.14165388183415722,2022-12-14,29.0,sponsoredProducts,15.7,2,0.2,0.1,0.1,0.5964225410316804,0.7,2.6603362612722763,0.125
1501,639bbe6007c1047fb9956a15,66682785844999,191635452519815,72730925523210,3932195223562143,copper hands,0,7,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Broad,Cerebro - Broad,broad,0.15903375344952844,0.15903375344952844,0.1548359028140205,2022-12-14,20.0,sponsoredProducts,15.7,14,6.67,0.4764285714285714,0.47,0.5964225410316804,0.7,2.930440803573653,0.5874999999999999
134,639bbe6007c1047fb99569df,176411330251137,101115749301139,16297002239515,3932195223562143,finger support arthritis,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - manual,broad,broad,0.27118680979317866,0.27118680979317866,0.25895661411087884,2022-12-14,44.0,sponsoredProducts,15.7,32,24.869999999999997,0.7771874999999999,0.5,0.5964225410316804,0.7,4.997032866114839,0.625
956,639bbe6007c1047fb99569e7,102747285958228,186714011940738,193502141195270,3932195223562143,fititude compression gloves,0,456,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,exact,0.38969579768070384,0.38969579768070384,0.3974142770606254,2022-12-14,35.0,sponsoredProducts,15.7,14,18.589999999999996,1.3278571428571426,7.26,1.0,0.7,4.282756816510934,5.808
1803,639bbe6007c1047fb9956a3c,29732887250388,72544142742258,96074406077867,3932195223562143,compression wrist support,0,3,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Brace - SP - Broad - Generic - GS,Generic Keywords,broad,0.12986128461659435,0.12986128461659435,0.12827833596672977,2022-12-14,5.0,sponsoredProducts,15.7,23,17.55,0.7630434782608696,0.56,0.5964225410316804,0.7,2.392893326043095,0.7000000000000001
1062,639bbe6007c1047fb9956a44,194228355023134,209913959443745,88655178633111,3932195223562143,+tendonitis +wrist,0,0,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Brace - SP - BBM,bbm,broad,0.09208450303628822,0.09208450303628822,0.09152555343544516,2022-12-14,9.0,sponsoredProducts,15.7,7,7.67,1.0957142857142856,0.5,1.0,0.7,1.0120086883688075,0.625
1937,639bbe6007c1047fb9956a3f,26737364169510,239919069392894,209723663620297,3932195223562143,tendonitis,0,17,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Brace - SP - Broad - Injury KW - GS,Tendinitis,broad,0.11607967148141092,0.11607967148141092,0.0937407347552803,2022-12-14,14.0,sponsoredProducts,15.7,2,1.62,0.81,0.73,1.0,0.7,1.275715589580706,0.9125
1603,639bbe6007c1047fb99569ff,106055307944900,137148697360324,180552945709583,3932195223562143,guantes para artritis para mujer,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Amazons Choice - Exact,Gloves - SP - Cerebro - Amazons Choice - Exact,exact,0.12986128461659435,0.12986128461659435,0.12827833596672977,2022-12-14,5.0,sponsoredProducts,15.7,1,0.83,0.83,0.41,1.0,0.7,1.4271755179363719,0.5125
1228,639bbe6007c1047fb99569f5,4039071857924,83203090092284,26927836851662,3932195223562143,arthritis gloves,0,1,0.0,0,0,0,0.0,2022-12-15,0,0,0.0,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,phrase,0.14437529690143144,0.14437529690143144,0.14165388183415722,2022-12-14,29.0,sponsoredProducts,15.7,6,3.51,0.585,0.39,0.5964225410316804,0.7,2.6603362612722763,0.48750000000000004
