,date,campaignName,adGroupName,targeting,matchType,__v_x,active_x,bid,optimizing_x,__v_y,active_y,optimizing_y,__v_x,active,dailyBudget,optimizing,premiumBidAdjustment,bidMultiplier,bidOptimization_y,clicks,impressions,cost,purchases1d,purchases7d,purchases30d,sales30d,__v_y,conversions,sales,Number_of_word,campaignName_enc,adGroupName_enc,targeting_enc,matchType_enc
0,2022-08-21,Brace - SP - BBM,bbm,+tendonitis +wrist,broad,0,3,1.98,0,0,3,0,0,3,90,0,3,0,0,21,5453,30.509999999999998,0,0,0,0.0,0,0,0.0,2,0,14,3,0
1,2022-08-21,Brace - SP - Broad - Generic - GS,Generic Keywords,sport wrist brace,broad,0,2,1.6,0,0,2,0,0,2,40,0,2,0,0,0,13,0.0,0,0,0,0.0,0,0,0.0,3,1,2,68,0
2,2022-08-21,Brace - SP - Broad - Generic - GS,Generic Keywords,wrist brace typing,broad,0,1,0.23,0,0,1,0,0,1,20,0,1,0,0,0,2,0.0,0,0,0,0.0,0,0,0.0,3,1,2,84,0
3,2022-08-21,Brace - SP - Broad - Injury KW - GS,Injury,wrist injury,broad,0,3,0.51,0,0,3,0,0,3,75,0,0,0,0,0,21,0.0,0,0,0,0.0,0,0,0.0,2,2,6,90,0
4,2022-08-21,Brace - SP - Competitor manual,brace,night wrist brace,broad,0,2,0.52,0,0,2,0,0,2,40,0,0,0,0,0,5,0.0,0,0,0,0.0,0,0,0.0,3,3,15,59,0
5,2022-08-21,Brace - SP - Competitor manual,brace,night wrist brace,phrase,0,1,0.34,0,0,1,0,0,1,20,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0,0.0,3,3,15,59,2
6,2022-08-21,Brace - SP - Exact - Generic - GS,Left,left hand brace,exact,0,2,0.6,0,0,2,0,0,2,40,0,0,0,0,0,6,0.0,0,0,0,0.0,0,0,0.0,3,4,7,53,1
7,2022-08-21,Brace - SP - Exact - Generic - GS,Left,wrist brace left hand,exact,0,1,0.3,0,0,1,0,0,1,20,0,0,0,0,0,3,0.0,0,0,0,0.0,0,0,0.0,4,4,7,83,1
8,2022-08-21,Brace - SP - Exact - Injury KW - GS,Sprains,brace for sprain wrist,exact,0,1,0.33,0,0,1,0,0,1,20,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0,0.0,4,5,10,12,1
9,2022-08-21,Brace - SP - Exact - Injury KW - GS,Sprains,wrist brace for sprained wrist,exact,0,2,1.02,0,0,2,0,0,2,40,0,0,0,0,0,16,0.0,0,0,0,0.0,0,0,0.0,5,5,10,82,1
10,2022-08-21,Catch all grouped,brace,comfybrace,phrase,0,3,0.42000000000000004,0,0,3,0,0,3,60,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,1,6,15,16,2
11,2022-08-21,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,copper compression,broad,0,1,0.4,0,0,1,0,0,1,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,2,7,3,25,0
12,2022-08-21,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,copper compression,exact,0,1,0.4,0,0,1,0,0,1,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,2,7,3,25,1
13,2022-08-21,Gloves  - Competitor Brand - Exact,Gloves  - Competitor Brand - Exact,copper compression,phrase,0,1,0.41,0,0,1,0,0,1,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,2,7,3,25,2
14,2022-08-21,Gloves - SP - Cerebro - Amazons Choice - Exact,Gloves - SP - Cerebro - Amazons Choice - Exact,gloves carpal tunnel,exact,0,3,0.99,0,0,3,0,0,3,60,0,3,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,3,8,4,44,1
15,2022-08-21,Gloves - SP - Cerebro - Broad,Cerebro - Broad,pressure glove,broad,0,2,1.36,0,0,2,0,0,2,40,0,2,0,0,1,16,0.79,0,0,0,0.0,0,0,0.0,2,9,0,61,0
16,2022-08-21,Gloves - SP - Cerebro - Broad,Cerebro - Broad,swelling reducer for hands,broad,0,1,0.14,0,0,1,0,0,1,20,0,1,0,0,0,1,0.0,0,0,0,0.0,0,0,0.0,4,9,0,73,0
17,2022-08-21,Gloves - SP - Cerebro - Exact,gloves,thumb compression sleeve,exact,0,1,0.39,0,0,1,0,0,1,20,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0,0.0,3,10,18,78,1
18,2022-08-21,Gloves - SP - Cerebro - Phrase,Cerebro - Phrase,compression glove,phrase,0,3,1.41,0,0,3,0,0,3,75,0,3,0,0,1,28,0.64,0,0,0,0.0,0,0,0.0,2,11,1,17,2
19,2022-08-21,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,fititude,phrase,0,1,8.15,0,0,1,0,0,1,45,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0,0.0,1,12,5,38,2
20,2022-08-21,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,fititude compression gloves,exact,0,1,6.83,0,0,1,0,0,1,45,0,0,0,0,1,2,9.56,0,0,0,0.0,0,0,0.0,3,12,5,39,1
21,2022-08-21,Gloves - SP - Exact - Brand Defense Keywords - GS,Gloves - SP - Exact - Brand Defense Keywords - GS,fititude infused copper pair of compression gloves,exact,0,1,4.9,0,0,1,0,0,1,45,0,0,0,0,0,7,0.0,0,0,0,0.0,0,0,0.0,7,12,5,41,1
22,2022-08-21,Gloves - SP - KW - MIX - Discovery,gloves,arthritis gloves for women for pain,exact,0,3,0.81,0,0,3,0,0,3,105,0,0,0,0,0,7,0.0,0,0,0,0.0,0,0,0.0,6,13,18,11,1
