,CR,x_prior,x_post ,Date,Leave
5.0,0.10567634988993256,0.10567634988993256,0.1085566083634731,2022-12-27,5.0
7.0,0.04254300161697346,0.04254300161697346,0.04243432048212418,2022-12-27,7.0
9.0,0.06008969516321943,0.06008969516321943,0.05266240547071635,2022-12-27,9.0
10.0,0.06450605645576908,0.06450605645576908,0.06443475135131942,2022-12-27,10.0
18.0,0.05336873037058921,0.05336873037058921,0.05332174816869986,2022-12-27,18.0
23.0,0.06734002857693583,0.06734002857693583,0.06725120341999205,2022-12-27,23.0
30.0,0.06443419924980152,0.06443419924980152,0.06433310639820905,2022-12-27,30.0
40.0,0.042850623348848135,0.042850623348848135,0.042138702456257664,2022-12-27,40.0
45.0,0.11371345193247745,0.11371345193247745,0.11367341054395777,2022-12-27,45.0
59.0,0.13899015002303364,0.13899015002303364,0.12395782544571482,2022-12-27,59.0
60.0,0.12434911794990539,0.12434911794990539,0.12428128970455846,2022-12-27,60.0
64.0,0.10251630278704382,0.10251630278704382,0.10249134038716672,2022-12-27,64.0
65.0,0.15956002808233288,0.15956002808233288,0.16687868443198353,2022-12-27,65.0
69.0,0.10769063962184992,0.10769063962184992,0.10788999827827805,2022-12-27,69.0
70.0,0.15705948426180755,0.15705948426180755,0.15434079361157665,2022-12-27,70.0
71.0,0.06733960211123846,0.06733960211123846,0.06725104382762737,2022-12-27,71.0
76.0,0.08709948833298004,0.08709948833298004,0.08699326600967802,2022-12-27,76.0
79.0,0.11851081425821408,0.11851081425821408,0.11701969137587644,2022-12-27,79.0
80.0,0.047243181906830356,0.047243181906830356,0.05070816269644349,2022-12-27,80.0
83.0,0.06337509642676391,0.06337509642676391,0.06327194033380976,2022-12-27,83.0
99.0,0.3089764742010792,0.3089764742010792,0.305323313001464,2022-12-27,99.0
105.0,0.45965490765818884,0.45965490765818884,0.461190088626198,2022-12-27,105.0
107.0,0.4513351287877891,0.4513351287877891,0.4513391860513409,2022-12-27,107.0
108.0,0.15483487469093307,0.15483487469093307,0.15518663215937414,2022-12-27,108.0
112.0,0.07635038756265951,0.07635038756265951,0.07490338608125101,2022-12-27,112.0
114.0,0.134627241296871,0.134627241296871,0.13459341573070951,2022-12-27,114.0
121.0,0.07105651513294335,0.07105651513294335,0.0710045892788747,2022-12-27,121.0
122.0,0.08382954574523317,0.08382954574523317,0.08093516104144267,2022-12-27,122.0
134.0,0.12252987978117696,0.12252987978117696,0.12322624398703944,2022-12-27,134.0
137.0,0.04779859005077304,0.04779859005077304,0.047717777856444966,2022-12-27,137.0
138.0,0.14322314947187598,0.14322314947187598,0.14444664516473102,2022-12-27,138.0
141.0,0.20988203787591597,0.20988203787591597,0.20927551162061966,2022-12-27,141.0
145.0,0.19248148313593128,0.19248148313593128,0.19217276065727945,2022-12-27,145.0
148.0,0.2154533933435755,0.2154533933435755,0.2133431046316771,2022-12-27,148.0
167.0,0.12892861218786095,0.12892861218786095,0.12887402786573227,2022-12-27,167.0
170.0,0.03528173646041063,0.03528173646041063,0.03521376163757173,2022-12-27,170.0
174.0,0.029055698228009207,0.029055698228009207,0.028996596499702168,2022-12-27,174.0
175.0,0.2626325038584268,0.2626325038584268,0.24904552940700403,2022-12-27,175.0
190.0,0.056986590131296186,0.056986590131296186,0.05690026974551478,2022-12-27,190.0
191.0,0.12590029871911365,0.12590029871911365,0.1250027047518647,2022-12-27,191.0
198.0,0.053650848764832365,0.053650848764832365,0.053049347032152194,2022-12-27,198.0
203.0,0.02408938885982116,0.02408938885982116,0.023958750954523756,2022-12-27,203.0
204.0,0.1216291971681289,0.1216291971681289,0.13437705970172512,2022-12-27,204.0
55.0,0.11820303432939508,0.11820303432939508,0.12120464373472885,2022-12-27,55.0
106.0,0.5490452347225906,0.5490452347225906,0.5465861343912826,2022-12-27,106.0
133.0,0.15545885989822003,0.15545885989822003,0.15378145004245036,2022-12-27,133.0
58.0,0.06205263424772998,0.06205263424772998,0.06198364132363869,2022-12-27,58.0
56.0,0.10930573418426423,0.10930573418426423,0.10925588760939765,2022-12-27,56.0
86.0,0.14840793717687997,0.14840793717687997,0.14368477000521976,2022-12-27,86.0
91.0,0.06441413007319895,0.06441413007319895,0.0643258968045329,2022-12-27,91.0
