item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
FDC Vitamina E 300 mg + Selenio para la Piel Radiante, 60 Cápsulas		0812XA9VJE5	12-2YIK-H8S2	29.31	100	12/08/2020 10:46:58 MEST		y	1			11				B08CGQNVPK						B08CGQNVPK			0	DEFAULT	FDC spain	Active		
FDC Complemento Alimenticio con Biotina por el Cabello, la Piel y los Uñas, 60 Cápsulas	Antioxidantes, vitaminas del complejo B y minerales Micronutrientes esenciales para la salud de la piel, cabello y uñas. No contiene gluten Sin adición de azúcar Sin adición de sodio	0706XI4M037	8S-J4HK-DV7Q	19.15	100	06/07/2020 18:53:48 MEST		y	3			11				B08CF5DDYW						755244010529			0	DEFAULT	FDC spain	Active		
FDC Complejo de Vitamina B para Aumentar la Energía y Mejorar el Sistema Inmunológico, 100 Cápsulas	Vitaminas del complejo B El complejo es constituido por 8 vitaminas esenciales que están implicadas en diferentes procesos en el organismo como la producción de energía, normal funcionamiento del sistema inmunitario y nervioso. Pueden ser encontradas en diversos alimentos como levadura de cerveza, cereales, vísceras, lácteos, nueces y vegetales de hoja verde y pueden también ser producidas por bacterias a nivel del trato gastrointestinal. Apto para veganos No contiene gluten Sin adición de azúcar Sin adición de sodio	0706XH1TRQZ	AY-EP18-O5LR	21.92	100	06/07/2020 08:46:31 MEST		y	3			11				B08CDKKCFV						755244010581			0	DEFAULT	FDC spain	Active		
FDC Calcio 600 mg + Vitamina D para Fortalecer los Huesos y Músculos, 60 Cápsulas	Calcio y vitamina D El calcio es un mineral esencial al funcionamiento del organismo. Su principal función está relacionada con la estructura ósea, en donde es almacenado, en la formación de los huesos y dientes. Las principales fuentes de calcio son los lácteos, vegetales de hoja verde oscura, frutos secos y leguminosas. La vitamina D asume un papel importante en la mantención de los niveles séricos de calcio. Las fuentes alimenticias de vitamina D son escasas por lo que esta es obtenida, sobretodo, por síntesis cutánea derivada de la exposición solar. No contiene gluten Sin adición de azúcar Sin adición de sodio	0706XHS0107	J2-V3EZ-QRV2	17.54	100	06/07/2020 13:44:49 MEST		y	3			11				B08CDYT928						755244010185			0	DEFAULT	FDC spain	Active		
FDC Vitamina C 500 mg para Aumentar la Energía y Estimular el Metabolismo, 30 Cápsulas	Recomendado especialmente durante la temporada de resfriados, en invierno, el sistema inmunológico puede ser susceptible. La vitamina C contribuye a la función normal del sistema inmune y para la reducción de la fatiga y el cansancio. FDC Vita C contiene 500 mg de vitamina C por comprimido, lo que contribuye a la función normal del sistema inmune y reducir el cansancio y la fatiga.	0706XJ4Z8LU	MA-W0ZR-56J0	9.79	100	06/07/2020 22:22:22 MEST		y	3			11				B08CG77Q81						755244010628			0	DEFAULT	FDC spain	Active		
FDC Vitamina B12 500 mg para Aumentar la Energía y Estimular el Sistema Inmunológico, 100 Cápsulas	Recomendado para los vegetarianos y veganos, que, debido a la restricción en el consumo de alimentos de origen animal, tienden a tener deficiencias en la concentración de vitamina B12 FDC Vita B12 proporciona la dosis apropiada de vitamina B12. Vitamina B12 500 mg contribuye al normal funcionamiento del sistema nervioso e inmunitario, 100 cápsulas para 100 días de uso.. En muchos de los llamados alimentos “de vitamina B12 ricos”, entre el 5 y el 30% de la vitamina B12 está presente en forma de análogos de baja biodisponibilidad y, en algunos, es completamente inactivo	0706XJNP45G	QX-790K-JXPG	29.14	100	06/07/2020 22:07:20 MEST		y	3			11				B08CGGC117						755244010598			0	DEFAULT	FDC spain	Active		false
FDC Vitamina C 1000 mg Lanzamiento Temporizado para Aumentar la Energía y Estimular el Metabolismo, 30 Cápsulas	Vitamina C La vitamina C es una vitamina hidrosoluble importante para la formación de colágeno, para la firmeza y elasticidad de los tejidos y para la resistencia de los huesos y dientes. Además, desempeña un papel relevante en el refuerzo del sistema inmunitario durante la época de las gripes y resfriados. Puede ser obtenida a través de alimentos como frutas y verduras frescas, ya que la cocedura puede destruir parte de la vitamina C presente en los alimentos. Formulado para desintegrarse lentamente después de la toma del producto, estando completamente desintegrado después de 1 hora. Este producto aporta un flujo consistente de vitamina C al organismo minimizando los potenciales incómodos y la reducida absorción de las fórmulas de liberación inmediata. Apto para veganos No contiene gluten Sin adición de azúcar Sin adición de sodio	0706XJNOMGP	R3-9VKO-2D5O	17.05	100	06/07/2020 22:20:31 MEST		y	3			11				B08CGHBJXW						755244010659			0	DEFAULT	FDC spain	Active		false
FDC Vitamina D3 2000UI para Fortalecer los Huesos y Músculos, 100 Cápsulas	Vitamina D La vitamina D es una vitamina liposoluble que asume un papel importante en el mantenimiento de los niveles séricos de calcio. Las fuentes alimenticias de vitamina D son escasas por lo que esta es obtenida, sobre todo por síntesis cutánea resultante de la exposición solar. No contiene gluten Sin adición de azúcar Sin adición de sodio	0706XJXIQZL	SY-1KSC-SMQ1	21.38	100	06/07/2020 22:30:03 MEST		y	3			11				B08CGQ5WMH						755244010413			0	DEFAULT	FDC spain	Active		
FDC Omega-3 Alta Potencia para Estimular el Sistema Cardiovascular, 60 Cápsulas	Recomendadas para la : - Prevención riesgo cardiovascular - Hipertensos - Hiperlipidemias Omega-3 Los omega-3 son grasas polinsaturadas que deben estar presentes en una alimentación sana y equilibrada. Son considerados ácidos grasos esenciales y son obtenidos a través del consumo de pescados grasos (sardina, caballa, sarda, atún, arenque y salmón), aceite de pescado, semillas (linaza, chía), aceites (aceite de linaza) y algunos frutos oleaginosos (nueces).	0812XA7FSAA	W5-3SC9-FMOK	43.72	100	12/08/2020 10:43:01 MEST		y	1			11				B08CG1CWKB						B08CG1CWKB			0	DEFAULT	FDC spain	Active		
FDC Vitamina C 500 mg Lanzamiento Temporizado para Aumentar la Energía y Estimular el Metabolismo, 30 Cápsulas	Formulado a desintegrarse lentamente después de tomar el producto, siendo completamente desintegrado después de una hora de la toma. Este producto proporciona un flujo constante de la vitamina C en el cuerpo, minimizando el potencial malestar y disminución de la absorción de las formas de liberación inmediata. Recomendado especialmente durante la temporada de resfriados, en invierno, cuando el sistema inmune puede ser susceptible. La vitamina C contribuye a la función normal del sistema inmune y para la reducción de la fatiga y el cansancio. FDC Vita C contiene 500 mg de vitamina C por comprimido, lo que contribuye a la función normal del sistema inmune y reducir el cansancio y la fatiga.	0706XJGGVC8	3T-LP08-SO4P	14.28	100	06/07/2020 22:24:53 MEST		y	3			11				B08CGC63J3						755244010635			0	DEFAULT	FDC spain	Inactive		
